,Communication Services
0,ADTH
1,ADV
2,AESE
3,AMCX
4,ANGH
5,ANGI
6,ANTE
7,ASTS
8,ATEX
9,ATNI
10,ATVI
11,ATY
12,BAOS
13,BATRA
14,BATRK
15,BBGI
16,BHAT
17,BIDU
18,BILI
19,BRAG
20,BZFD
21,CARG
22,CCNC
23,CCOI
24,CDLX
25,CHTR
26,CIDM
27,CMCSA
28,CMLS
29,CMPR
30,CNET
31,CNSL
32,COMS
33,COMSP
34,CPOP
35,CRTO
36,CSCW
37,CSSE
38,CSSEP
39,CURI
40,CXDO
41,DALN
42,DDI
43,DISH
44,DLPN
45,DOYU
46,DRCT
47,EA
48,EDUC
49,EGLX
50,EVER
51,FAZE
52,FLNT
53,FNGR
54,FOX
55,FOXA
56,FWONA
57,FWONK
58,FYBR
59,GAIA
60,GAME
61,GDEV
62,GIGM
63,GMGI
64,GNUS
65,GOGO
66,GOOG
67,GOOGL
68,GROM
69,GRPN
70,GRVY
71,GSMG
72,GSMGW
73,HHS
74,HOFV
75,IAC
76,IAS
77,ICLK
78,IDCC
79,IHRT
80,IQ
81,IRDM
82,ISIG
83,IZEA
84,JFIN
85,KRKR
86,LBRDA
87,LBRDK
88,LBRDP
89,LBTYA
90,LBTYB
91,LBTYK
92,LCFY
93,LEE
94,LILA
95,LILAK
96,LIZI
97,LKCO
98,LOV
99,LSXMA
100,LSXMB
101,LSXMK
102,LTRPA
103,LTRPB
104,LVO
105,LYL
106,MCHX
107,MDIA
108,META
109,MGAM
110,MGNI
111,MOBQ
112,MOMO
113,MOXC
114,MSGM
115,MTCH
116,MYPS
117,NCMI
118,NCTY
119,NFLX
120,NN
121,NTES
122,NWS
123,NWSA
124,NXST
125,OB
126,ONFO
127,OPRA
128,PARA
129,PARAA
130,PARAP
131,PERI
132,PLAY
133,PLTK
134,PTNR
135,QNST
136,QTEK
137,QTT
138,RADI
139,RBBN
140,RDCM
141,RDI
142,RDIB
143,ROKU
144,RSVR
145,SALM
146,SBGI
147,SCHL
148,SCOR
149,SCPL
150,SEAT
151,SGA
152,SHEN
153,SIFY
154,SIRI
155,SJ
156,SLGG
157,SOHU
158,SRAX
159,SSP
160,STCN
161,STGW
162,STRN
163,STRNW
164,TBLA
165,TC
166,THRY
167,TIGO
168,TMUS
169,TRKA
170,TRMR
171,TRUE
172,TRVG
173,TTGT
174,TTWO
175,TZOO
176,UCL
177,UONE
178,UONEK
179,VEON
180,VOD
181,WB
182,WBD
183,WIMI
184,WMG
185,XNET
186,YNDX
187,YVR
188,YY
189,Z
190,ZD
191,ZG
