,Consumer Defensive
0,AACG
1,AFRI
2,AFYA
3,AGFS
4,AGRI
5,AGRIW
6,ALCO
7,ANDE
8,APEI
9,APPH
10,AQB
11,ARCE
12,ASPU
13,AVO
14,BON
15,BRFH
16,BRID
17,BRSH
18,BSFC
19,BTOG
20,BYND
21,CALM
22,CCEP
23,CELH
24,CENT
25,CENTA
26,CHEF
27,CHSCL
28,CHSCM
29,CHSCN
30,CHSCO
31,CHSCP
32,CLEU
33,CLXT
34,COCO
35,COKE
36,COST
37,CVGW
38,CYAN
39,DLTR
40,DNUT
41,DTEA
42,EAST
43,EDBL
44,EDTK
45,EEIQ
46,EWCZ
47,FAMI
48,FARM
49,FIZZ
50,FREE
51,FRPT
52,GNLN
53,GO
54,GSUN
55,HAIN
56,HAPP
57,HELE
58,HFFG
59,IMKTA
60,IPAR
61,JBSS
62,JJSF
63,JVA
64,JZ
65,KAL
66,KAVL
67,KDP
68,KHC
69,LANC
70,LAUR
71,LFVN
72,LINC
73,LMNR
74,LNDC
75,LOPE
76,LWAY
77,LXEH
78,MDLZ
79,METX
80,MF
81,MGPI
82,MMMB
83,MNST
84,MTEX
85,NAII
86,NATR
87,NCRA
88,NUZE
89,NWL
90,OLLI
91,OTLY
92,PEP
93,PETZ
94,PME
95,PPC
96,PRDO
97,PSMT
98,REED
99,RGF
100,RIBT
101,RMCF
102,SANW
103,SENEA
104,SENEB
105,SFM
106,SKIN
107,SMFL
108,SMPL
109,SNAX
110,SOVO
111,SPTN
112,STKL
113,STRA
114,TANH
115,TEDU
116,THRN
117,TKLF
118,TTCF
119,TUEM
120,TWNK
121,TWOU
122,UDMY
123,UG
124,VEDU
125,VFF
126,VGFC
127,VITL
128,VLGEA
129,VSTA
130,VTRU
131,VWE
132,WAFU
133,WILC
134,WTER
135,WVVI
136,WVVIP
137,XXII
138,YQ
139,ZVO
